title,language,rating,platform,description
Vikram,Tamil,8.8,Netflix,An action-packed thriller starring Kamal Haasan.
Karnan,Tamil,8.7,Prime Video,A rebellious warrior fights for his people.
Super Deluxe,Tamil,9,Netflix,An unconventional crime drama with multiple storylines.
Kaithi,Tamil,7.9,Disney+,A prisoner helps the police in a thrilling mission.
Jailer,Tamil,7.8,Netflix,A retired jailer uncovers secrets from his past.
Soorarai Pottru,Tamil,8.7,Prime Video,An inspiring story of an ambitious entrepreneur.
Master,Tamil,8.5,Disney+,A professor fights against a criminal mastermind.
Anniyan,Tamil,9.2,Netflix,A man with multiple personalities fights corruption.
Petta,Tamil,8.8,Prime Video,A gangster drama with action and emotion.
Kabali,Tamil,8.7,Netflix,The story of an aging gangster.
Asuran,Tamil,8.9,Netflix,A farmer seeks revenge for his son's murder.
Vada Chennai,Tamil,9.3,Prime Video,The rise of a gangster in North Chennai.
Thani Oruvan,Tamil,8.9,Netflix,A brilliant cop vs a cunning villain.
24,Tamil,7.7,Disney+,A scientist discovers time travel.
Sivaji,Tamil,8.5,Netflix,A businessman fights against corruption.
Ghilli,Tamil,8.2,Prime Video,An intense sports drama with action.
Mersal,Tamil,8,Disney+,A doctor uncovers a dark conspiracy.
Ratsasan,Tamil,8.1,Netflix,A gripping psychological thriller.
Thuppakki,Tamil,8.4,Prime Video,An army officer stops a terrorist attack.
Visaranai,Tamil,8.5,Netflix,A dark crime thriller based on true events.

KGF,Kannada,8.8,Netflix,The rise of Rocky in the underworld.
Kantara,Kannada,8.7,Prime Video,A mystical thriller rooted in folklore.
Ugramm,Kannada,9,Netflix,A stylish gangster drama.
Lucia,Kannada,7.9,Disney+,A mind-bending psychological thriller.
Garuda Gamana Vrishabha Vahana,Kannada,7.8,Netflix,A gripping crime drama.
Mungaru Male,Kannada,8.7,Prime Video,A heartwarming romantic drama.
Raajakumara,Kannada,8.5,Disney+,A touching family story.
Charlie 777,Kannada,9.2,Netflix,A heartwarming tale of a man and his dog.
Ulidavaru Kandanthe,Kannada,8.8,Prime Video,A Rashomon-style crime thriller.
Kirik Party,Kannada,8.7,Netflix,A fun college drama.
Drishya,Kannada,8.9,Netflix,A suspense thriller about a father’s cover-up.
Gaalipata,Kannada,9.3,Prime Video,A romantic adventure in scenic locations.
Tagaru,Kannada,8.9,Netflix,A cop vs gangster action drama.
Bell Bottom,Kannada,7.7,Disney+,A retro-styled detective movie.
Duniya,Kannada,8.5,Netflix,A gritty drama about underworld struggles.
Navagraha,Kannada,8.2,Prime Video,A heist thriller involving a gang of thieves.
Mufti,Kannada,8,Disney+,An undercover cop infiltrates a crime syndicate.
Pailwaan,Kannada,8.1,Netflix,A wrestling and action drama.
Love Mocktail,Kannada,8.4,Prime Video,A nostalgic love story.
RangiTaranga,Kannada,8.5,Netflix,A mysterious thriller set in a village.

Drishyam 2,Malayalam,8.8,Netflix,A suspenseful sequel to the hit thriller.
Premam,Malayalam,8.7,Prime Video,A coming-of-age love story.
Kumbalangi Nights,Malayalam,9,Netflix,A heartwarming story about family and acceptance.
Bangalore Days,Malayalam,7.9,Disney+,Three cousins explore life in a new city.
Charlie,Malayalam,7.8,Netflix,A mysterious traveler changes lives.
Maheshinte Prathikaaram,Malayalam,8.7,Prime Video,A simple man's journey of revenge.
Joji,Malayalam,8.5,Disney+,A modern take on Shakespeare’s Macbeth.
Thondimuthalum Driksakshiyum,Malayalam,9.2,Netflix,A thrilling story about a stolen necklace.
Uyare,Malayalam,8.8,Prime Video,An acid attack survivor fights back.
Lucifer,Malayalam,8.7,Netflix,A political action thriller.
Jana Gana Mana,Malayalam,8.9,Netflix,A courtroom drama filled with suspense.
Minnal Murali,Malayalam,9.3,Prime Video,A superhero origin story.
Kurup,Malayalam,8.9,Netflix,A crime thriller based on true events.
Malik,Malayalam,7.7,Disney+,A gripping political drama.
Virus,Malayalam,8.5,Netflix,The inspiring fight against the Nipah virus outbreak.
C U Soon,Malayalam,8.2,Prime Video,A unique thriller told through digital screens.
Take Off,Malayalam,8,Disney+,A nurse’s daring escape from a war zone.
Android Kunjappan,Malayalam,8.1,Netflix,A heartfelt story about a robot companion.
Bhoothakaalam,Malayalam,8.4,Prime Video,A psychological horror thriller.
Operation Java,Malayalam,8.5,Netflix,A crime thriller about cyber investigations.
