title,language,rating,platform,description,episodes
CommitMental,Telugu,7.1,Prime Video,A couple’s struggles in a long-term relationship,6
Ekkadiki Ee Parugu,Telugu,7.2,Disney+,A thriller with unexpected twists,8
Chadarangam,Telugu,6.9,Hotstar,A high-stakes political drama,10
Shootout at Alair,Telugu,7.1,SonyLiv,A crime thriller based on true events,8
title,language,rating,platform,description,episodes
Queen,Tamil,9.5,Netflix,The life story of a powerful woman in politics,11
Suzhal,Tamil,9.3,Prime Video,A small-town mystery unfolds,8
Vadhandhi,Tamil,8.7,Disney+,A crime drama with an investigative twist,9
November Story,Tamil,9,Hotstar,A murder mystery thriller,7
Live Telecast,Tamil,8.9,SonyLiv,A reality show turns into a horror nightmare,7
Vella Raja,Tamil,9.3,Prime Video,A high-octane action crime series,10
Thiravam,Tamil,9.3,Prime Video,A scientist discovers a fuel alternative,8
Nava Rasa,Tamil,9.5,Netflix,An anthology series with deep emotions,9
Iru Dhuruvam,Tamil,9.5,Netflix,A dark police procedural drama,10
Kallachirippu,Tamil,9.5,Netflix,A short thriller about a twisted marriage,6
Pettaikaali,Tamil,9.3,Prime Video,A rural crime drama with twists,8
Paava Kadhaigal,Tamil,8.7,Disney+,An emotional anthology about society’s realities,4
Aaha Kalyanam,Tamil,9,Hotstar,A romantic comedy drama,10
As I'm Suffering From Kadhal,Tamil,8.9,SonyLiv,A modern take on relationships,7
Thangam,Tamil,9.5,Netflix,A heartfelt story of sacrifice and identity,5
Kalloori Salai,Tamil,9.3,Prime Video,A nostalgic college life drama,6
Auto Shankar,Tamil,8.7,Disney+,The rise and fall of a notorious gangster,10
Yaaradi Nee Mohini,Tamil,9,Hotstar,A supernatural thriller,12
Sigai,Tamil,8.9,SonyLiv,A unique crime drama about identity,8
Vilangu,Tamil,9.3,Prime Video,A police investigation unfolds dark secrets,7
title,language,rating,platform,description,episodes
Humble Politician Nograj,Kannada,9.5,Netflix,A political satire with humor,10
Loose Connection,Kannada,9.3,Prime Video,A college drama with comedy,8
Jayanagar 4th Block,Kannada,9,Hotstar,A gripping crime investigation series,7
Sakkath Studio,Kannada,9.3,Prime Video,The behind-the-scenes of reality TV,8
Ek Lagnachi Teesri Goshta,Kannada,8.9,SonyLiv,A unique take on modern relationships,10
Chadarangam,Kannada,9.5,Netflix,A political thriller filled with suspense,9
Daari Tappida Maga,Kannada,9.3,Prime Video,A gripping action crime drama,10
Neruppu Da,Kannada,8.7,Disney+,A firefighter's heroic story,7
Kempegowda,Kannada,9,Hotstar,A cop thriller with high-action sequences,9
Parimala,Kannada,8.9,SonyLiv,A family drama exploring complex relationships,8
Gharshane,Kannada,9.5,Netflix,A mystery thriller about a missing person,7
Kiragoorina Gayyaligalu,Kannada,9.3,Prime Video,The struggles of rural women,6
Oggarane Dabbi,Kannada,8.7,Disney+,A cooking-based reality drama,9
Antharala,Kannada,9,Hotstar,A supernatural thriller,8
Sose,Kannada,8.9,SonyLiv,A romantic family drama,10
Rangayana,Kannada,9.5,Netflix,A theater-based drama series,6
Gahana,Kannada,9.3,Prime Video,A suspense series exploring dark secrets,9
Kasturi Nivasa,Kannada,8.7,Disney+,A heart-touching emotional drama,7
Jagath Kiladi,Kannada,9,Hotstar,A crime-based reality investigation,10
Janapada Kathana,Kannada,8.9,SonyLiv,An anthology series about folklore,6
title,language,rating,platform,description,episodes
Karikku,Malayalam,9.5,Netflix,A hilarious take on modern youth,15
Oru Kadha Pole,Malayalam,9.3,Prime Video,A heartwarming story about life and love,8
Louder,Malayalam,8.7,Disney+,A suspenseful crime thriller,10
Lal Salaam,Malayalam,9,Hotstar,A story of rebellion and justice,8
Samayal,Malayalam,8.9,SonyLiv,A lighthearted cooking competition show,10
Rock Paper Scissors,Malayalam,9.5,Netflix,A mind-bending anthology series,12
Break The Code,Malayalam,9.3,Prime Video,A cyber-crime thriller,7
Happy Journey,Malayalam,8.7,Disney+,A travel-based reality drama,9
Laughing Buddha,Malayalam,9,Hotstar,A comedy series that explores human nature,10
Mazha,Malayalam,8.9,SonyLiv,A romance story spanning different timelines,8
Aadyamayi,Malayalam,9.5,Netflix,An investigative drama about corruption,7
Njangalude Veedu,Malayalam,9.3,Prime Video,A family drama exploring relationships,9
Kazhcha,Malayalam,8.7,Disney+,A documentary-style social drama,6
Pravasi Lokam,Malayalam,9,Hotstar,A documentary about Malayali diaspora,8
Avastha,Malayalam,8.9,SonyLiv,A dark psychological thriller,10
Oru Kodi,Malayalam,9.5,Netflix,A game show with a unique twist,8
Kalyana Parisu,Malayalam,9.3,Prime Video,A drama about love and betrayals,9
Manjari,Malayalam,8.7,Disney+,A suspense thriller set in the 80s,10
Punarjani,Malayalam,9,Hotstar,A time-travel mystery,7
Kanakanakuyil,Malayalam,8.9,SonyLiv,A historical fiction drama,6
